code, people 
8103001, 129 
8103002, 202 
8103003, 17 
8103004, -   
8103005, 212 
8103006, -   
8102701," 5,668 "
8104901, 731 
8104902, -   
8104903, -   
8107101, -   
8107102, 350 
8107103, 427 
8107104, 205 
8107105, 304 
8107106, 232 
8107107, 270 
8107108, 368 
8107109, 192 
8107110, 506 
8107111, 161 
8107112, 487 
8107201, 465 
8107202, 243 
8107203, 258 
8107204, 376 
8107205, 347 
8107206, 358 
8107207, 300 
8107208, 375 
8107209, -   
8105101, 30 
8105102, 425 
8105103, 618 
8105104, 524 
8105105, 459 
8105106, -   
8105107, -   
8107301, 330 
8107302, 351 
8107303, 400 
8107304, 252 
8107305, 247 
8107306, 381 
8107307, 333 
8107308, 239 
8107309, 418 
8107310, 317 
8107311, 443 
8107312, 275 
8107313, 255 
8105201, 289 
8105202, 328 
8105203, 357 
8105204," 1,166 "
8105205, 316 
8105206, 571 
8105207, 305 
8105208, 438 
8105209, -   
8109101, 198 
8109102, 233 
8109103, 269 
8109104, 207 
8109105, 236 
8109106, 339 
8109107, 236 
8109108, 359 
8109901, 510 
8109902, 379 
8109903, 243 
8109904, 256 
8109905, 276 
8107401, 373 
8107402, 345 
8107403, 247 
8107404, 232 
8107405, 284 
8107406, 361 
8107407, 407 
8107408, 217 
8107409, 322 
8107410, 225 
8107411, 353 
8107412, 179 
8107413, 248 
8105301, 615 
8105302, 328 
8105303, 820 
8105304, 915 
8107501, 399 
8107502, 266 
8107503, 299 
8107504, 316 
8107505, 349 
8107506, 308 
8107507, 293 
8107508, 187 
8107509, 161 
8107510, 367 
8107511, 252 
8107512, 210 
8107513, 244 
8110001, 377 
8110002, 305 
8110003, 210 
8110004, 458 
8110005, 416 
8110006, 326 
8110007, 206 
8110008, 415 
8110009, 291 
8110010, 393 
8110011, 182 
8110012, 331 
8106201, 510 
8106202, 393 
8106203, -   
8106204, 251 
8106205, 336 
8106206, 205 
8106207, 258 
8106208, 202 
8106209, 216 
8109201, 380 
8109202, 278 
8109203, 276 
8109204, 213 
8109205, 234 
8109206, 240 
8109207, 236 
8109208, 333 
8109209, 84 
8109210, -   
8107601, 272 
8107602, 287 
8107603, 319 
8107604, 286 
8107605, 271 
8107606, 311 
8107607, -   
8107608, 332 
8107609, 200 
8110101, 159 
8110102, 293 
8110103, 464 
8110104, 223 
8110105, 317 
8110106, 193 
8110107, 358 
8110108, 348 
8109301, 354 
8109302, 172 
8109303, 300 
8109304, 486 
8109305, 401 
8109306, 400 
8106301, 598 
8106302, 195 
8106303, 324 
8106304, 190 
8110201, -   
8110202, 425 
8110203, 367 
8110204, 280 
8110205, 196 
8110206, 204 
8110207, 462 
8110208, 326 
8110209, 197 
8107701, 466 
8107702, 256 
8107703, 175 
8107704, 271 
8107705, 324 
8107706, 210 
8107707, 259 
8107708, 1 
8107801, 321 
8107802, 186 
8107803, 258 
8107804, 202 
8107805, 269 
8107806, 282 
8107807, 215 
8107808, 291 
8107809, 229 
8107810, 371 
8107811, 403 
8107812, 241 
8107813, 248 
8107814, 365 
8107815, 247 
8107816, 211 
8107817, 201 
8107818, 306 
8107819, 180 
8107820, 316 
8107821, 317 
8107901, 213 
8107902, 275 
8107903, 348 
8107904, 278 
8107905, 285 
